,content,userName,reviewId,title,appId,score_x,thumbsUpCount,dominant_topic,dominant_topic_meaning,developer,genre,contentRating,containsAds
3,"Love this game! I love this letter tracing game because its more beautiful. However, i made a little mistake of the letters because they are too hard for us to do so. Ill update it later. Thanks so much !! !! (apostrophes require)",stephanie johnson,676c0171-2ad4-46a3-b8cb-6b1bd597a37b,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,5,128,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
17,amazing app! you can't ignore the fact they made such a great app for free and no adds...my son loves his alphabet and lately has been interested in tracing letters but traditional paper and pencil are not his thing so we've been providing him with different tools to encourage him and this app is just perfect!,Reem Beddawi,e623136b-7d0c-4714-9c8c-26904dd8b924,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,5,175,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
19,3 year old plays many of your apps he loves them and is learning . Makes babysitting fun again...lol. 75 years old and enjoy playing with him . I have found that at times he will hit the wrong answers just for the sound .. only oops I have found. Over all these apps are the best thank you,john cushard,9d391d86-096d-47c6-80a2-a896658473f9,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,5,225,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
21,"easy to use, I love that it helps with multiple language skills that my child is needing to gain a better understanding of their letters and sounds!",Mar,0d8e19f6-baf5-48b2-b332-20e169dc9f12,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,5,138,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
35,A great free and educational app. My toddler loves matching the upper and lower case letters. The only issue is the pick the letter game (the top right hand side icon) doesn't work. Please fix this big!,Ada Yap,c57d2797-71f8-4af0-8777-ceb9128c7b90,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,4,179,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
38,"brilliant app, using it with my 2yo (nearly 3yo) and he loves it. sometimes gets distracted but try and get him to play the app on my phone as much as possible. just wish we could get it on his amazon tablet. but the app is brilliant for learning, even though he is too young to know he is actually learning, he thinks it's just a game. Great that it is FREE as other apps cost quite a bit but don't tell you until after you download",Danielle McC,12367a98-0b97-470d-a38b-8e27e4e171cd,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,5,523,2,Issues Concerns,RV AppStudios,Educational,Everyone,False
63,This game is absolutely loaded with bugs now. I have tried uninstalling and reinstalling and it doesn't fix the many issues. It is literally unplayable now.,Jenny xx,ae6e973a-1a63-4b24-8a8b-1f43902eb600,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,1,253,2,Issues Concerns,RV AppStudios,Educational,Everyone,False
67,I teach Autistic children(verbal/non verbal) and toddlers in home preschool. I only use this online program as a motivational tool on my phone at the end of class. I teach one on one students so they get the undivided attention they need to learn quicker and have fun while learning! Thank you Lucas and Friends!,Deedra Hernandez,964e35c9-ca35-43cd-b52a-4a980806da3d,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,5,674,1,Praise and Comparisons,RV AppStudios,Educational,Everyone,False
73,"Trying g to z use and teach 3 year old. He likes this and plays a couple of hours a day with breaks , sometimes paw paw has to play with him but he can play through without mistakes. He will sometimes answer incorrect.y, to trigger sound effect then laugh. Then have to set him ask on course. Need a slightly harder game..",john cushard,90e8b6b5-8aae-46e7-b992-253bd3f07411,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,5,155,2,Issues Concerns,RV AppStudios,Educational,Everyone,False
75,"Very bad game,indan language why you cannot add Tamil language ,indan language main language is tamil language,I don't like this game,note is Malayalam is based in tamil language 😡😡",Nivi Kumar,2586ceab-b2fd-4313-925b-f7716c0f80f6,ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,1,344,3,Graphics & Gameplay,RV AppStudios,Educational,Everyone,False
