,n_topics,alpha,beta,coherence
0,2,0.05,0.01,0.4967875237990238
1,2,0.05,0.2,0.5606377738475712
2,2,0.05,0.4,0.5520006405093547
3,2,0.05,0.8,0.546512343909745
4,2,0.05,2.0,0.5355368905828561
5,2,0.1,0.01,0.5056735495250689
6,2,0.1,0.2,0.5606652019505395
7,2,0.1,0.4,0.5546337866581622
8,2,0.1,0.8,0.5570655042077334
9,2,0.1,2.0,0.5630945641442416
10,2,0.2,0.01,0.5786463835109278
11,2,0.2,0.2,0.5504610456789147
12,2,0.2,0.4,0.564429702237333
13,2,0.2,0.8,0.564429702237333
14,2,0.2,2.0,0.5621971007404591
15,2,0.4,0.01,0.5605757540588541
16,2,0.4,0.2,0.5433736964066925
17,2,0.4,0.4,0.5380857610664328
18,2,0.4,0.8,0.5401321260484013
19,2,0.4,2.0,0.5501091108561481
20,2,0.5,0.01,0.5382256910592546
21,2,0.5,0.2,0.532262366765742
22,2,0.5,0.4,0.543919496699552
23,2,0.5,0.8,0.5526285748994539
24,2,0.5,2.0,0.5521918029917283
25,2,1.0,0.01,0.5587358303912655
26,2,1.0,0.2,0.5580876934856751
27,2,1.0,0.4,0.5562267651138902
28,2,1.0,0.8,0.5562267651138902
29,2,1.0,2.0,0.5576547039426335
30,2,2.0,0.01,0.5750791032537275
31,2,2.0,0.2,0.5806294362625035
32,2,2.0,0.4,0.5770444998017863
33,2,2.0,0.8,0.5770444998017863
34,2,2.0,2.0,0.5664065749396483
35,2,5.0,0.01,0.5846222464472319
36,2,5.0,0.2,0.5946732305714542
37,2,5.0,0.4,0.5919428294895778
38,2,5.0,0.8,0.593003579372716
39,2,5.0,2.0,0.593003579372716
40,2,10.0,0.01,0.587091906566859
41,2,10.0,0.2,0.5762272934618098
42,2,10.0,0.4,0.5859500264280897
43,2,10.0,0.8,0.5817468554301993
44,2,10.0,2.0,0.5817468554301994
45,3,0.05,0.01,0.5120316788923632
46,3,0.05,0.2,0.531414414537219
47,3,0.05,0.4,0.5599286740541075
48,3,0.05,0.8,0.5616047801522682
49,3,0.05,2.0,0.5659660924118354
50,3,0.1,0.01,0.5123656060044269
51,3,0.1,0.2,0.5169817488664291
52,3,0.1,0.4,0.5457057827497653
53,3,0.1,0.8,0.5614614549084028
54,3,0.1,2.0,0.5719757558433264
55,3,0.2,0.01,0.506368192515562
56,3,0.2,0.2,0.509200586179084
57,3,0.2,0.4,0.5108687081888187
58,3,0.2,0.8,0.5550988291174361
59,3,0.2,2.0,0.5716090193472767
60,3,0.4,0.01,0.510288228347764
61,3,0.4,0.2,0.5289196527609245
62,3,0.4,0.4,0.552336620627678
63,3,0.4,0.8,0.5708366691216661
64,3,0.4,2.0,0.5680904092913336
65,3,0.5,0.01,0.5045101247883075
66,3,0.5,0.2,0.5631614376032558
67,3,0.5,0.4,0.5578945482577982
68,3,0.5,0.8,0.5736180430762378
69,3,0.5,2.0,0.5732244672469123
70,3,1.0,0.01,0.5335288203663224
71,3,1.0,0.2,0.5627480114862841
72,3,1.0,0.4,0.5630098433708883
73,3,1.0,0.8,0.5736180430762378
74,3,1.0,2.0,0.5737057674153657
75,3,2.0,0.01,0.5329156477472436
76,3,2.0,0.2,0.5637764436491502
77,3,2.0,0.4,0.5620656447131137
78,3,2.0,0.8,0.5515065444234337
79,3,2.0,2.0,0.5464205113323719
80,3,5.0,0.01,0.5603613120157167
81,3,5.0,0.2,0.597750884779899
82,3,5.0,0.4,0.601247720934245
83,3,5.0,0.8,0.5867584818760393
84,3,5.0,2.0,0.592559012224295
85,3,10.0,0.01,0.5415983208211851
86,3,10.0,0.2,0.5731681849833518
87,3,10.0,0.4,0.5721777285687545
88,3,10.0,0.8,0.588611901155983
89,3,10.0,2.0,0.6030548008374151
90,4,0.05,0.01,0.4964383671840824
91,4,0.05,0.2,0.5020307128047693
92,4,0.05,0.4,0.49840316019740527
93,4,0.05,0.8,0.5751560476341523
94,4,0.05,2.0,0.5726820321846169
95,4,0.1,0.01,0.5035947901697008
96,4,0.1,0.2,0.5211392200851491
97,4,0.1,0.4,0.4916127155782041
98,4,0.1,0.8,0.5322690678872398
99,4,0.1,2.0,0.589554715276263
100,4,0.2,0.01,0.514074518327478
101,4,0.2,0.2,0.5406130352959106
102,4,0.2,0.4,0.5719671379792435
103,4,0.2,0.8,0.5735049160257663
104,4,0.2,2.0,0.5840511486430661
105,4,0.4,0.01,0.5213749770557006
106,4,0.4,0.2,0.5424054654635548
107,4,0.4,0.4,0.5442058777042854
108,4,0.4,0.8,0.5547163436860023
109,4,0.4,2.0,0.5586672873891293
110,4,0.5,0.01,0.5138875660174327
111,4,0.5,0.2,0.5343971625282958
112,4,0.5,0.4,0.5512294672475124
113,4,0.5,0.8,0.5606163957030517
114,4,0.5,2.0,0.5645183315283644
115,4,1.0,0.01,0.5308669126694909
116,4,1.0,0.2,0.5466424226784068
117,4,1.0,0.4,0.5562411024205112
118,4,1.0,0.8,0.5806147034397676
119,4,1.0,2.0,0.5673830022861172
120,4,2.0,0.01,0.5336601685019036
121,4,2.0,0.2,0.5684224353525837
122,4,2.0,0.4,0.5668777125011548
123,4,2.0,0.8,0.5754919204352903
124,4,2.0,2.0,0.5810892223498082
125,4,5.0,0.01,0.5323969042387884
126,4,5.0,0.2,0.5724740432108522
127,4,5.0,0.4,0.5765741073494905
128,4,5.0,0.8,0.5894245245114547
129,4,5.0,2.0,0.5873925859967963
130,4,10.0,0.01,0.533267096938692
131,4,10.0,0.2,0.5499477543014604
132,4,10.0,0.4,0.5689605574551868
133,4,10.0,0.8,0.5667977788075165
134,4,10.0,2.0,0.5721331669914392
135,5,0.05,0.01,0.5149559997880442
136,5,0.05,0.2,0.5197479235351674
137,5,0.05,0.4,0.5318790458709872
138,5,0.05,0.8,0.5256850147815747
139,5,0.05,2.0,0.5215879207826877
140,5,0.1,0.01,0.513418431147664
141,5,0.1,0.2,0.5197392859727216
142,5,0.1,0.4,0.519932522426134
143,5,0.1,0.8,0.5270884565373573
144,5,0.1,2.0,0.5311701784981571
145,5,0.2,0.01,0.5183088622350919
146,5,0.2,0.2,0.5207083299467323
147,5,0.2,0.4,0.5524503594021841
148,5,0.2,0.8,0.5583066682203779
149,5,0.2,2.0,0.5296015247561489
150,5,0.4,0.01,0.520362040223169
151,5,0.4,0.2,0.5455749903335961
152,5,0.4,0.4,0.5349099784566839
153,5,0.4,0.8,0.5455539978962812
154,5,0.4,2.0,0.5633161765782979
155,5,0.5,0.01,0.5108119510606884
156,5,0.5,0.2,0.5384071070674196
157,5,0.5,0.4,0.5541810494638353
158,5,0.5,0.8,0.5543351081434639
159,5,0.5,2.0,0.5585220651061504
160,5,1.0,0.01,0.5342433295390805
161,5,1.0,0.2,0.5420772838924869
162,5,1.0,0.4,0.5600617326961078
163,5,1.0,0.8,0.568559464808253
164,5,1.0,2.0,0.5706354528438201
165,5,2.0,0.01,0.530572454946785
166,5,2.0,0.2,0.5796901047502829
167,5,2.0,0.4,0.5827343367229411
168,5,2.0,0.8,0.5783106647185479
169,5,2.0,2.0,0.5744842358539163
170,5,5.0,0.01,0.5214868877858942
171,5,5.0,0.2,0.5730421268672833
172,5,5.0,0.4,0.5834347480463837
173,5,5.0,0.8,0.5927842878687252
174,5,5.0,2.0,0.5804975880011416
175,5,10.0,0.01,0.5420588120494118
176,5,10.0,0.2,0.5657097762769701
177,5,10.0,0.4,0.5733282342305384
178,5,10.0,0.8,0.5786832217748052
